e,x,g,n,f,n,b,b,t,w,p,w
e,x,s,y,t,a,b,k,e,w,p,w
e,b,s,y,t,a,b,g,e,w,p,w
e,x,g,y,t,a,b,n,e,w,p,w
p,x,g,w,t,p,n,k,e,w,p,w
e,s,f,g,f,n,n,k,e,w,p,w
p,x,s,n,t,p,n,n,e,w,p,w
p,x,s,n,t,p,n,k,e,w,p,w
p,x,g,n,t,p,n,n,e,w,p,w
e,b,g,w,t,a,b,w,e,w,p,w
p,f,s,w,t,p,n,n,e,w,p,w
e,x,s,y,t,a,n,n,t,w,p,w
p,x,g,w,t,p,n,k,e,w,p,w
p,x,g,n,t,p,n,w,e,w,p,w
p,x,g,w,t,p,n,p,e,w,p,w
e,x,g,w,t,a,b,n,e,w,p,w
p,x,g,n,t,p,n,k,e,w,p,w
e,b,g,y,t,a,b,w,e,w,p,w
e,b,s,w,t,a,b,w,e,w,p,w
e,x,g,n,t,a,b,p,e,w,p,w
e,b,g,y,t,a,b,k,e,w,p,w
e,f,s,n,f,n,b,k,t,w,p,w
e,f,g,y,t,a,b,w,e,w,p,w
e,x,f,g,f,n,n,p,e,w,p,w
e,x,g,n,t,a,b,p,e,w,p,w
e,f,g,n,t,a,b,n,e,w,p,w
p,x,g,w,t,p,n,w,e,w,p,w
e,x,f,g,f,n,b,n,t,w,p,w
e,x,s,n,f,n,b,k,t,w,p,w
e,s,f,n,f,n,n,n,e,w,p,w
e,x,s,w,t,a,b,g,e,w,p,w
e,x,s,y,t,a,b,n,e,w,p,w
e,x,g,w,t,a,b,g,e,w,p,w
e,x,g,y,t,a,b,n,e,w,p,w
e,x,g,y,t,a,b,n,e,w,p,w
e,x,s,y,t,a,b,k,e,w,p,w
e,s,f,g,f,n,n,g,e,w,p,w
e,x,s,y,t,a,b,n,e,w,p,w
e,s,f,n,f,n,n,k,e,w,p,w
e,x,g,w,t,a,b,g,e,w,p,w
e,f,s,g,f,n,b,k,t,w,p,w
e,x,s,w,f,n,b,n,t,w,p,w
e,f,f,g,f,n,b,h,t,w,p,w
p,x,g,w,t,p,n,w,e,w,p,w
e,x,g,y,t,a,b,n,e,w,p,w
e,f,g,n,t,a,b,w,e,w,p,w
e,x,f,g,f,n,b,k,t,w,p,w
e,b,g,w,t,a,b,g,e,w,p,w
e,x,s,n,f,n,b,p,t,w,p,w
e,s,f,n,f,n,n,k,e,w,p,w
e,x,g,w,t,a,b,k,e,w,p,w
e,b,s,y,t,a,b,g,e,w,p,w
e,b,g,y,t,a,b,n,e,w,p,w
e,b,s,w,t,a,b,w,e,w,p,w
e,b,s,w,t,a,b,k,e,w,p,w
e,b,g,y,t,a,b,w,e,w,p,w
e,b,g,y,t,a,b,g,e,w,p,w
e,s,f,n,f,n,n,g,e,w,p,w
e,x,s,y,t,a,b,g,e,w,p,w
p,x,g,w,t,p,n,k,e,w,p,w
e,f,f,g,f,n,n,p,e,w,p,w
e,x,g,n,t,a,b,w,e,w,p,w
e,f,s,y,t,a,n,w,t,w,p,w
e,f,f,g,f,n,n,g,e,w,p,w
e,f,s,w,t,a,n,n,t,w,p,w
e,x,f,w,f,n,b,h,t,w,p,w
p,x,s,w,t,p,n,k,e,w,p,w
e,b,s,w,t,a,b,k,e,w,p,w
e,b,g,w,t,a,b,w,e,w,p,w
e,x,f,g,f,n,n,n,e,w,p,w
e,x,g,y,t,a,b,k,e,w,p,w
e,s,f,g,f,n,n,p,e,w,p,w
p,x,s,w,t,p,n,k,e,w,p,w
e,f,f,w,t,a,n,p,t,w,p,w
e,x,s,y,t,a,b,g,e,w,p,w
e,b,s,y,t,a,b,n,e,w,p,w
p,x,g,w,t,p,n,k,e,w,p,w
e,f,f,n,f,n,n,k,e,w,p,w
e,f,g,y,t,a,b,p,e,w,p,w
p,x,s,w,t,p,n,n,e,w,p,w
e,x,g,w,t,a,b,n,e,w,p,w
e,x,s,n,f,n,b,p,t,w,p,w
p,x,s,n,t,p,n,p,e,w,p,w
e,x,s,w,t,a,b,w,e,w,p,w
