e,x,s,y,t,a,e,c,s,s,w,w,p,w,o,p,g
e,x,s,g,f,n,t,e,s,s,w,w,p,w,o,e,g
e,x,y,y,t,a,e,c,s,s,w,w,p,w,o,p,g
e,b,s,y,t,a,e,c,s,s,w,w,p,w,o,p,m
e,x,y,y,t,l,e,c,s,s,w,w,p,w,o,p,g
e,x,y,y,t,a,e,c,s,s,w,w,p,w,o,p,m
e,b,s,y,t,a,e,c,s,s,w,w,p,w,o,p,g
e,s,f,g,f,n,e,e,s,s,w,w,p,w,o,p,u
e,b,s,y,t,a,e,c,s,s,w,w,p,w,o,p,m
e,b,y,y,t,l,e,c,s,s,w,w,p,w,o,p,m
e,x,y,y,t,a,e,c,s,s,w,w,p,w,o,p,m
e,x,s,y,t,a,t,b,s,s,w,w,p,w,o,p,d
e,b,s,y,t,l,e,c,s,s,w,w,p,w,o,p,m
e,x,y,y,t,l,e,c,s,s,w,w,p,w,o,p,m
e,b,y,y,t,l,e,c,s,s,w,w,p,w,o,p,m
e,x,f,y,t,l,t,b,s,s,w,w,p,w,o,p,d
e,s,f,g,f,n,e,e,s,s,w,w,p,w,o,p,u
e,x,f,y,t,a,t,b,s,s,w,w,p,w,o,p,d
e,b,s,y,t,l,e,c,s,s,w,w,p,w,o,p,m
e,b,y,y,t,a,e,c,s,s,w,w,p,w,o,p,g
e,x,y,y,t,l,e,r,s,y,w,w,p,w,o,p,p
e,x,s,y,t,a,e,c,s,s,w,w,p,w,o,p,m
e,x,y,y,t,l,e,c,s,s,w,w,p,w,o,p,m
e,x,y,y,t,l,e,r,s,y,w,w,p,w,o,p,p
e,f,y,y,t,l,e,r,s,y,w,w,p,w,o,p,p
e,b,y,y,t,a,e,c,s,s,w,w,p,w,o,p,m
e,f,f,g,f,n,t,e,s,s,w,w,p,w,o,e,g
e,x,s,y,t,l,e,c,s,s,w,w,p,w,o,p,g
e,s,f,g,f,n,e,e,s,s,w,w,p,w,o,p,u
e,b,y,y,t,a,e,c,s,s,w,w,p,w,o,p,m
e,b,s,y,t,l,e,c,s,s,w,w,p,w,o,p,m
e,b,y,y,t,l,e,c,s,s,w,w,p,w,o,p,m
e,f,y,y,t,a,e,r,s,y,w,w,p,w,o,p,g
e,x,y,y,t,a,e,c,s,s,w,w,p,w,o,p,g
e,x,f,g,f,n,e,e,s,s,w,w,p,w,o,p,u
e,f,f,y,t,l,t,b,s,s,w,w,p,w,o,p,d
e,f,f,y,t,l,t,b,s,s,w,w,p,w,o,p,d
e,b,s,y,t,a,e,c,s,s,w,w,p,w,o,p,g
e,f,s,y,t,l,t,b,s,s,w,w,p,w,o,p,d
e,f,f,g,f,n,e,e,s,s,w,w,p,w,o,p,u
e,x,f,g,f,n,t,e,s,s,w,w,p,w,o,e,g
e,x,y,y,t,l,e,r,s,y,w,w,p,w,o,p,g
e,x,y,y,t,a,e,c,s,s,w,w,p,w,o,p,g
e,x,y,y,t,l,e,c,s,s,w,w,p,w,o,p,m
e,x,s,y,t,a,e,c,s,s,w,w,p,w,o,p,g
e,b,s,y,t,l,e,c,s,s,w,w,p,w,o,p,g
e,f,y,y,t,l,e,r,s,y,w,w,p,w,o,p,g
e,x,y,y,t,a,e,r,s,y,w,w,p,w,o,p,p
e,x,y,y,t,a,e,c,s,s,w,w,p,w,o,p,m
e,x,y,y,t,a,e,r,s,y,w,w,p,w,o,p,g
